Category,Method,JiNan_real,,,JiNan_real_2000,,,JiNan_real_2500,,,anon_3_4_jinan_synthetic_24000_60,,,Hangzhou,,,Hangzhou_5816,,,anon_4_4_hangzhou_synthetic_24000_60min,,
,,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓,ATT↓,AWT↓,AQL↓
Traditional,FixedTime,400.85,136.12,171.755795,358.64,91.36,68.679195,375.96,116.09,125.514220,911.58,613.85,1508.726814,493.23,161.62,76.212012,478.26,185.20,149.409388,836.01,486.47,636.298081,
,MaxPressure,322.97,63.52,68.236878,322.97,58.37,41.263658,313.95,59.05,53.700044,554.49,248.72,1005.398395,365.17,46.93,16.481783,355.12,56.13,40.491384,559.23,201.08,442.480974
RL,MPLight,,,,,,,,,,,,,,,,,,,,,
,Efficient-MPLight,,,,,,,,,,,,,,,,,,,,,
,Advanced-MPLight,,,,,,,,,,,,,,,,,,,,,
,AttendLight,,,,,,,,,,,,,,,,,,,,,
,PressLight,,,,,,,,,,,,,,,,,,,,,
,Efficient-PressLight,,,,,,,,,,,,,,,,,,,,,
,CoLight (SOTA),,,,,,,,,,,,,,,,,,,,,
,Efficient-CoLight (SOTA),,,,,,,,,,,,,,,,,,,,,
,Advanced-CoLight (SOTA),,,,,,,,,,,,,,,,,,,,,
LLM/VLM Methods,LLMLight,,,,,,,,,,,,,,,,,,,,,
,VLMLight,,,,,,,,,,,,,,,,,,,,,
E2ELight（with generalist LLM）,Gemini-3-pro,,,,,,,,,,,,,,,,,,,,,
,ChatGPT-5,,,,,,,,,,,,,,,,,,,,,
,Qwen-3.5,,,,,,,,,,,,,,,,,,,,,
E2ELight (ours),Qwen-3-vl-4b,,,,,,,,,,,,,,,,,,,,,,
,Qwen-3-vl-8b,971.85,737.58,812.426095,356.46,89.59,67.511978,375.96,116.09,125.514220,911.58,613.85,1508.726814,738.92,475.59,181.590128,478.26,185.20,149.409388,836.01,486.47,636.298081
,SFT,,,,,,,,,,,,,,,,,,,,,
,SFT+RLVR,,,,,,,,,,,,,,,,,,,,,
